y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
3,6,11,19,26,34,41,48,53,57,61,64,67,68,70,69,69,69,69,69,70,70,70,70,70,70,69,68,68,67,95
10,11,13,17,21,27,32,37,40,45,47,49,51,51,52,53,54,56,56,56,56,56,56,56,55,54,53,52,52,51,73
5,7,12,18,22,27,32,36,40,43,45,46,46,46,47,48,48,48,47,46,45,45,45,45,45,45,45,45,45,45,53
4,5,8,13,17,23,26,31,36,40,45,50,53,55,57,57,58,58,58,58,57,57,57,57,57,57,57,57,56,56,59
6,7,9,15,20,25,30,34,37,40,42,44,46,49,49,49,49,49,49,49,49,48,47,46,46,45,44,43,43,42,59
12,15,19,26,31,37,43,47,51,53,55,56,56,56,56,56,56,56,56,56,55,54,53,52,51,50,49,49,49,49,54
7,11,15,24,32,37,41,44,47,51,53,53,54,55,54,54,54,54,54,54,53,53,53,53,52,52,52,51,51,50,59
1,1,3,9,18,28,35,41,45,49,52,56,58,60,60,60,60,59,59,59,59,59,58,57,57,57,56,55,54,53,57
3,6,11,19,27,35,42,47,51,54,57,60,63,63,63,64,64,64,64,64,65,65,65,64,64,64,64,64,63,63,82
0,1,8,19,30,38,45,50,55,59,63,65,67,67,68,69,70,70,71,71,71,71,71,71,71,71,70,70,70,69,81
4,7,13,21,29,33,39,45,49,51,52,53,53,52,53,53,53,52,51,50,50,49,48,47,46,45,44,43,42,41,73
7,11,19,29,37,41,45,48,50,51,51,51,50,50,50,49,48,48,47,46,45,44,43,42,42,41,40,39,38,38,61
7,12,20,29,36,41,43,45,47,49,51,51,51,51,51,50,50,50,49,48,48,48,47,47,47,47,46,45,45,45,65
2,4,11,19,26,34,41,47,52,56,59,62,65,67,69,69,69,69,68,68,68,68,68,68,67,66,66,66,66,65,73
1,4,8,13,20,25,31,36,41,46,49,52,55,55,56,56,57,58,58,57,57,57,57,57,57,56,55,55,55,54,66
1,4,10,17,25,30,36,43,47,51,55,59,62,63,65,67,67,67,67,67,67,68,68,68,67,67,67,67,67,67,89
2,3,4,6,9,12,15,18,22,26,29,33,37,41,44,47,50,52,53,54,55,56,56,56,56,56,56,56,56,56,91
